n,t,observable,mean,std,median,q25,q75,n_realizations
7,260,autocorrelation,0.2511914478,0.08829077751,0.2462822114,0.1985440225,0.2713003353,30
7,262,autocorrelation,0.2605085561,0.08640225085,0.2407309486,0.208444468,0.2896013765,30
7,264,autocorrelation,0.2615163062,0.0878411626,0.2548040603,0.2061311956,0.279243594,30
7,266,autocorrelation,0.2640831911,0.086778756,0.2504121232,0.2058824433,0.286925917,30
7,268,autocorrelation,0.2674680332,0.08736402207,0.2509227322,0.19583865,0.30295667,30
7,270,autocorrelation,0.2642005046,0.08960151572,0.2434108703,0.1956676035,0.3043834607,30
7,272,autocorrelation,0.2678429009,0.09165042947,0.2351581469,0.2131814055,0.3240991651,30
7,274,autocorrelation,0.2700725415,0.09117362433,0.2584774535,0.2044662528,0.3045188181,30
7,276,autocorrelation,0.2697153263,0.09224327115,0.244005605,0.2085617615,0.2898770302,30
7,278,autocorrelation,0.2717081851,0.09219288947,0.2458459119,0.2232599784,0.3039402347,30
7,280,autocorrelation,0.2663404251,0.09394700542,0.2481377429,0.216801678,0.28967632,30
7,282,autocorrelation,0.2637597445,0.09425717249,0.242693901,0.2076508211,0.2907278753,30
7,284,autocorrelation,0.2611786097,0.09224747419,0.2412374393,0.2055938106,0.2791716598,30
7,286,autocorrelation,0.2635863449,0.08841889426,0.2454866135,0.2069113996,0.2824318669,30
7,288,autocorrelation,0.258433786,0.08543660284,0.2361247998,0.2000702359,0.2823992052,30
7,290,autocorrelation,0.2593850827,0.08057222368,0.2421303155,0.1972063526,0.2886245549,30
7,292,autocorrelation,0.2609633181,0.07677860355,0.2507238048,0.2124931399,0.2857907294,30
7,294,autocorrelation,0.2574749103,0.07701707144,0.2442176894,0.2149031741,0.2879138115,30
